address,apt,case,primary_offense,offense_code,offense,date_rept,date_occu,hour_occu,date_fnd,hour_fnd,fid,lat,lon
5638 GEORGE E MERRICK ST,,07009778,1,THC,THEFT FROM MOTOR VEHICLE,2007-10-27,2007-10-13,1500,2007-10-14,1500,,25.7162931,-80.276198
5185 PONCE DE LEON BLVD,610,07009782,1,THF,THEFT FROM STRUCTURE WITH LEGAL ACCESS PUBLIC BUILDING,2007-10-27,2007-10-27,1630,2007-10-27,1630,,25.7179231,-80.2737624
1239 THEO DICKINSON DR,,07009789,1,ALA,ALCOHOL JUVENILE VIOLATION,2007-10-28,2007-10-28,0240,2007-10-28,0240,,25.715591,-80.2816
5638 GEORGE E MERRICK ST,,07009803,1,ZOA,TRESPASS WARNING,2007-10-28,2007-10-28,2012,2007-10-28,2012,,25.7162931,-80.276198
5638 GEORGE E MERRICK ST,,07009803,1,ZOB,TRESPASS WARNING,2007-10-28,2007-10-28,2012,2007-10-28,2012,,25.7162931,-80.276198
5500 SAN AMARO DR,BLK,07009819,1,THC,THEFT FROM MOTOR VEHICLE,2007-10-29,2007-10-28,2200,2007-10-29,2200,,25.7202428,-80.2810222
5616 GEORGE E MERRICK ST,22A,07009829,1,THK,THEFT OTHER,2007-10-29,2007-10-28,2330,2007-10-29,2330,,25.7163614,-80.2762681
1101 STANFORD DR,328,07009834,1,SCB,SIMPLE ASSAULT THREATS,2007-10-29,2007-10-29,1700,2007-10-29,1700,,25.7183323,-80.27499759999999
5100 BRUNSON DR,,07009863,1,PRC,PROPERTY DAMAGED,2007-10-30,2007-10-30,1123,2007-10-30,1123,,25.7224132,-80.27591269999999
5185 PONCE DE LEON BLVD,,07009869,1,PRB,PROPERTY LOST,2007-10-30,2007-09-20,0000,2007-10-30,0000,,25.7179231,-80.2737624
1101 STANFORD DR,326,07009892,1,SCB,SIMPLE ASSAULT THREATS,2007-10-31,2007-10-31,1045,2007-10-31,1045,,25.7183323,-80.27499759999999
1223 THEO DICKINSON DR,,07009904,1,FDD,FD INJURED PERSON,2007-10-31,2007-10-31,1505,2007-10-31,1504,,25.7170977,-80.2793768
1200 THEO DICKINSON DR,BLK,07009938,1,VEI,VEHICLE PARKING OFFENSE SCOFF LAW,2007-11-01,2007-11-01,1242,2007-11-01,1242,,25.7175523,-80.27766249999999
1211 THEO DICKINSON DR,,07009948,1,VEI,VEHICLE PARKING OFFENSE SCOFF LAW,2007-11-01,2007-11-01,1500,2007-11-01,1500,,25.716037,-80.27868200000002
1200 STANFORD DR,BLK,07009919,1,ALA,ALCOHOL JUVENILE VIOLATION,2007-11-01,2007-11-01,0224,2007-11-01,0.1,,25.7181127,-80.27525659999999
1311 MILLER DR,,07009978,1,ZOD,INCIDENT REPORT,2007-11-02,2007-11-02,1110,2007-11-02,1110,,25.720387,-80.279546
5100 BRUNSON DR,,07009988,1,THF,THEFT FROM STRUCTURE WITH LEGAL ACCESS PUBLIC BUILDING,2007-11-02,2007-11-02,1100,2007-11-02,1100,,25.7224132,-80.27591269999999
1290 CAMPO SANO AV,,07009990,1,THC,THEFT FROM MOTOR VEHICLE,2007-11-02,2007-11-02,0930,2007-11-02,0930,,25.7245327,-80.2752466
1239 THEO DICKINSON DR,,07010002,1,SCD,SIMPLE STALKING,2007-11-03,2007-11-03,0140,2007-11-03,0.069,,25.715591,-80.2816
1311 MILLER DR,,07010011,1,ZOE,SUSPICIOUS INCIDENT,2007-11-03,2007-10-30,1600,2007-10-31,1600,,25.720387,-80.279546
1311 MILLER DR,,07010013,1,THF,THEFT FROM STRUCTURE WITH LEGAL ACCESS PUBLIC BUILDING,2007-11-03,2007-11-02,2130,2007-11-02,2130,,25.720387,-80.279546
5501 SAN AMARO DR,,07010017,1,THC,THEFT FROM MOTOR VEHICLE,2007-11-03,2007-11-02,2230,2007-11-03,2230,,25.7187893,-80.2803368
1311 MILLER DR,,07010031,1,PRA,PROPERTY FOUND IMPOUNDED,2007-11-04,2007-11-04,0045,2007-11-04,0.031,,25.720387,-80.279546
1311 MILLER DR,,07010042,1,DIB,DISTURBANCE OTHER,2007-11-04,2007-11-04,1645,2007-11-04,1645,,25.720387,-80.279546
5900 SAN AMARO DR,BLK,07010047,2,DCC,DISORDERLY INTOXICATION,2007-11-05,2007-11-05,0105,2007-11-05,0.045,,25.7136802,-80.28354949999999
5900 SAN AMARO DR,BLK,07010047,1,THK,THEFT OTHER,2007-11-05,2007-11-05,0105,2007-11-05,0.045,,25.7136802,-80.28354949999999
1500 ALBENGA AV,,07010066,1,PRB,PROPERTY LOST,2007-11-05,2007-11-01,0300,2007-11-01,0300,,25.7139677,-80.2833294
5665 PONCE DE LEON BLVD,,07010111,1,ZOD,INCIDENT REPORT,2007-11-06,2007-11-06,1557,2007-11-06,1557,,25.7127401,-80.2809083
1311 MILLER DR,G178,07010141,1,ZOE,SUSPICIOUS INCIDENT,2007-11-07,2007-11-07,1140,2007-11-07,1140,,25.720387,-80.279546
1231 THEO DICKINSON DR,MT 222,07010150,1,BUA,BURGLARY RESIDENTIAL,2007-11-07,2007-10-13,0000,2007-11-07,0000,,25.7169005,-80.280238
1231 THEO DICKINSON DR,MT 222,07010150,2,THK,BURGLARY RESIDENTIAL,2007-11-07,2007-10-13,0000,2007-11-07,0000,,25.7169005,-80.280238
1231 THEO DICKINSON DR,,07010160,1,THC,THEFT FROM MOTOR VEHICLE,2007-11-07,2007-10-31,1600,2007-11-04,1600,,25.7169005,-80.280238
5665 PONCE DE LEON BLVD,,07010217,1,THF,THEFT FROM STRUCTURE WITH LEGAL ACCESS PUBLIC BUILDING,2007-11-08,2007-11-08,0800,2007-11-08,0800,,25.7127401,-80.2809083
5500 SAN AMARO DR,,07010184,1,THC,THEFT FROM MOTOR VEHICLE,2007-11-08,2007-11-08,1250,2007-11-08,1249,,25.7202428,-80.2810222
5501 SAN AMARO DR,,07010196,1,THC,THEFT FROM MOTOR VEHICLE,2007-11-08,2007-11-08,0745,2007-11-08,0745,,25.7187893,-80.2803368
1210 STANFORD DR,,07010205,1,THF,THEFT FROM STRUCTURE WITH LEGAL ACCESS PUBLIC BUILDING,2007-11-08,2007-11-08,2200,2007-11-08,2200,,25.7182056,-80.27484319999999
5185 PONCE DE LEON BLVD,,07010209,1,ALA,ALCOHOL JUVENILE VIOLATION,2007-11-09,2007-11-09,0444,2007-11-09,0444,,25.7179231,-80.2737624
5501 SAN AMARO DR,130,07010215,1,THF,THEFT FROM STRUCTURE WITH LEGAL ACCESS PUBLIC BUILDING,2007-11-09,2007-10-30,1700,2007-10-31,1700,,25.7187893,-80.2803368
5250 UNIVERSITY DR,,07010234,1,THF,THEFT FROM STRUCTURE WITH LEGAL ACCESS PUBLIC BUILDING,2007-11-09,2007-11-08,2130,2007-11-09,2130,,25.720281,-80.27595199999999
1239 THEO DICKINSON DR,,07010250,1,ALA,ALCOHOL JUVENILE VIOLATION,2007-11-10,2007-11-10,0230,2007-11-10,0230,,25.715591,-80.2816
1223 THEO DICKINSON DR,,07010258,1,PRA,PROPERTY FOUND IMPOUNDED,2007-11-10,2007-10-27,0000,2007-11-10,0000,,25.7170977,-80.2793768
1223 THEO DICKINSON DR,,07010258,2,ZOE,PROPERTY FOUND IMPOUNDED,2007-11-10,2007-10-27,0000,2007-11-10,0000,,25.7170977,-80.2793768
1311 MILLER DR,,07010263,1,THF,THEFT FROM STRUCTURE WITH LEGAL ACCESS PUBLIC BUILDING,2007-11-10,2007-11-08,1615,2007-11-08,1615,,25.720387,-80.279546
1239 THEO DICKINSON DR,,07010271,1,ALA,ALCOHOL JUVENILE VIOLATION,2007-11-11,2007-11-11,0000,2007-11-11,0000,,25.715591,-80.2816
5399 PONCE DE LEON BLVD,,07010273,1,ALA,ALCOHOL JUVENILE VIOLATION,2007-11-11,2007-11-11,0004,2007-11-11,0.002,,25.7146629,-80.2777943
5616 PAVIA ST,,07010286,1,THC,THEFT FROM MOTOR VEHICLE,2007-11-11,2007-11-10,2230,2007-11-11,2230,,25.7181647,-80.2760863
1223 THEO DICKINSON DR,,07010292,1,ZOD,INCIDENT REPORT,2007-11-11,2007-11-11,2121,2007-11-11,2121,,25.7170977,-80.2793768
5185 PONCE DE LEON BLVD,,07010294,1,ZOD,INCIDENT REPORT,2007-11-12,2007-11-12,0200,2007-11-12,0.083,,25.7179231,-80.2737624
5185 PONCE DE LEON BLVD,,07010312,1,SCE,SIMPLE HARASSMENT,2007-11-12,2007-11-11,2230,2007-11-11,2230,,25.7179231,-80.2737624
1231 THEO DICKINSON DR,PT1115,07010321,1,ZOE,SUSPICIOUS INCIDENT,2007-11-12,2007-11-12,1849,2007-11-12,1849,,25.7169005,-80.280238
5501 SAN AMARO DR,,07010326,1,ZOA,TRESPASS WARNING,2007-11-12,2007-11-12,2145,2007-11-12,2145,,25.7187893,-80.2803368
5501 SAN AMARO DR,,07010334,1,ZOE,SUSPICIOUS INCIDENT,2007-11-13,2007-11-12,1230,2007-11-13,1230,,25.7187893,-80.2803368
5000 BRUNSON DR,BLK,07010335,1,THB,THEFT OF AUTO PART ACCESSORY,2007-11-13,2007-11-13,0745,2007-11-13,0745,,25.7233487,-80.2760784
5665 PONCE DE LEON BLVD,,07010310,1,ASA,ASSIST LAW AGENCY,2007-11-13,2007-11-10,0900,2007-11-12,0900,,25.7127401,-80.2809083
5600 PONCE DE LEON BLVD,,07010380,1,ZOA,TRESPASS WARNING,2007-11-14,2007-11-14,1440,2007-11-14,1439,,25.713698,-80.278328
5600 PONCE DE LEON BLVD,,07010380,2,ZOE,TRESPASS WARNING,2007-11-14,2007-11-14,1440,2007-11-14,1439,,25.713698,-80.278328
5800 SAN AMARO DR,BLK,07010390,1,TVE,THEFT OF BICYCLE,2007-11-14,2007-11-14,0030,2007-11-14,0.020,,25.7150399,-80.283608
1290 CAMPO SANO AV,,07010445,1,ZOE,SUSPICIOUS INCIDENT,2007-11-15,2007-11-15,2204,2007-11-15,2204,,25.7245327,-80.2752466
1101 STANFORD DR,,07010447,1,ALA,ALCOHOL JUVENILE VIOLATION,2007-11-16,2007-11-15,2355,2007-11-16,2355,,25.7183323,-80.27499759999999
1231 THEO DICKINSON DR,,07010449,1,ALA,ALCOHOL JUVENILE VIOLATION,2007-11-16,2007-11-16,0215,2007-11-16,0.093,,25.7169005,-80.280238
5600 GEORGE E MERRICK ST,21H,07010465,1,ZOA,TRESPASS WARNING,2007-11-16,2007-11-16,1039,2007-11-16,1039,,25.7183404,-80.27676699999999
1239 THEO DICKINSON DR,,07010504,1,ALA,ALCOHOL JUVENILE VIOLATION,2007-11-17,2007-11-17,0445,2007-11-17,0445,,25.715591,-80.2816
1239 THEO DICKINSON DR,,07010526,1,THK,THEFT OTHER,2007-11-17,2007-11-17,1830,2007-11-17,1830,,25.715591,-80.2816
4500 PONCE DE LEON BLVD,BLK,07010499,1,ZOD,INCIDENT REPORT,2007-11-17,2007-11-17,0045,2007-11-17,0.031,,25.7301048,-80.2586468
5800 SAN AMARO DR,,07010529,1,SCA,SIMPLE BATTERY,2007-11-18,2007-11-18,0035,2007-11-18,0.024,,25.7150399,-80.283608
1210 STANFORD DR,,07010579,1,THC,THEFT FROM MOTOR VEHICLE,2007-11-19,2007-11-19,1659,2007-11-19,1659,,25.7182056,-80.27484319999999
5900 SAN AMARO DR,,07010592,1,FDD,FD INJURED PERSON,2007-11-20,2007-11-20,0750,2007-11-20,0750,,25.7136802,-80.28354949999999
5700 PONCE DE LEON BLVD,,07010628,1,ZOA,TRESPASS WARNING,2007-11-21,2007-11-21,0134,2007-11-21,0.065,,25.7122517,-80.2804582
1350 MILLER DR,125,07010635,1,PRA,PROPERTY FOUND IMPOUNDED,2007-11-21,2007-11-21,0935,2007-11-21,0935,,25.720147,-80.279648
1231 THEO DICKINSON DR,,07010638,1,THG,THEFT FROM COIN OPERATED MACHINE,2007-11-21,2007-11-19,1100,2007-11-21,1100,,25.7169005,-80.280238
1101 STANFORD DR,214,07010678,1,SCE,SIMPLE HARASSMENT,2007-11-23,2007-11-22,1000,2007-11-23,1000,,25.7183323,-80.27499759999999
5185 PONCE DE LEON BLVD,,07010681,1,THK,THEFT OTHER,2007-11-23,2007-11-21,2230,2007-11-21,2230,,25.7179231,-80.2737624
1101 STANFORD DR,,07010757,1,PRA,PROPERTY FOUND IMPOUNDED,2007-11-27,2007-11-26,2355,2007-11-27,2355,,25.7183323,-80.27499759999999
5250 UNIVERSITY DR,,07010788,1,ZOE,SUSPICIOUS INCIDENT,2007-11-27,2007-11-27,1500,2007-11-27,1500,,25.720281,-80.27595199999999
1231 THEO DICKINSON DR,P214,07010875,1,ALA,ALCOHOL JUVENILE VIOLATION,2007-11-30,2007-11-30,0240,2007-11-30,0240,,25.7169005,-80.280238
1231 THEO DICKINSON DR,PT710,07010898,1,BUA,BURGLARY RESIDENTIAL,2007-11-30,2007-11-30,1130,2007-11-30,1130,,25.7169005,-80.280238
1231 THEO DICKINSON DR,PT710,07010898,2,THK,BURGLARY RESIDENTIAL,2007-11-30,2007-11-30,1130,2007-11-30,1130,,25.7169005,-80.280238
5501 SAN AMARO DR,,07010938,1,THB,THEFT OF AUTO PART ACCESSORY,2007-12-01,2007-11-30,1830,2007-12-01,1830,,25.7187893,-80.2803368
5185 PONCE DE LEON BLVD,6 FLOOR,07010951,1,VAA,VANDALISM TO STRUCTURE,2007-12-02,2007-12-02,0316,2007-12-02,0316,,25.7179231,-80.2737624
5185 PONCE DE LEON BLVD,6 FLOOR,07010951,2,ZOC,VANDALISM TO STRUCTURE,2007-12-02,2007-12-02,0316,2007-12-02,0316,,25.7179231,-80.2737624
1231 THEO DICKINSON DR,,07010973,1,FDD,FD SICK INJURED PERSON,2007-12-03,2007-12-03,0238,2007-12-03,0238,,25.7169005,-80.280238
1211 THEO DICKINSON DR,359,07010983,1,SCE,SIMPLE HARASSMENT,2007-12-03,2007-11-20,2227,2007-12-03,2227,,25.716037,-80.27868200000002
1239 THEO DICKINSON DR,,07011039,1,FDD,FD SICK INJURED PERSON,2007-12-05,2007-12-05,0219,2007-12-05,0.096,,25.715591,-80.2816
1231 THEO DICKINSON DR,PT 208,07011075,1,FDD,FD INJURED PERSON,2007-12-05,2007-12-05,2040,2007-12-05,2040,,25.7169005,-80.280238
1239 THEO DICKINSON DR,,07011083,1,FDD,FD SICK INJURED PERSON,2007-12-06,2007-12-06,0630,2007-12-06,0630,,25.715591,-80.2816
5400 PONCE DE LEON BLVD,BLK,07011134,1,ZOD,INCIDENT REPORT,2007-12-07,2007-12-07,0630,2007-12-07,0630,,25.7137747,-80.27868440000002
1320 S DIXIE HWY,,07011138,1,SCB,SIMPLE ASSAULT THREATS,2007-12-07,2007-11-29,1630,2007-11-29,1630,,25.713376,-80.277292
5501 SAN AMARO DR,,07011150,1,VAB,VANDALISM TO VEHICLE,2007-12-07,2007-12-04,0800,2007-12-04,0800,,25.7187893,-80.2803368
1101 STANFORD DR,,07011206,1,PRA,TRESPASSING,2007-12-09,2007-12-09,0420,2007-12-09,0420,,25.7183323,-80.27499759999999
1101 STANFORD DR,,07011206,2,XOT,TRESPASSING,2007-12-09,2007-12-09,0420,2007-12-09,0420,,25.7183323,-80.27499759999999
1365 MEMORIAL DR,,07011254,1,SCA,SIMPLE BATTERY,2007-12-10,2007-12-10,1815,2007-12-10,1815,,25.7214386,-80.2799399
1365 MEMORIAL DR,,07011254,2,ZOE,SIMPLE BATTERY,2007-12-10,2007-12-10,1815,2007-12-10,1815,,25.7214386,-80.2799399
1101 STANFORD DR,,07011256,1,THK,THEFT OTHER,2007-12-10,2007-12-07,0030,2007-12-10,0.020,,25.7183323,-80.27499759999999
5665 PONCE DE LEON BLVD,,07011278,1,ZOE,SUSPICIOUS INCIDENT,2007-12-11,2007-12-10,2214,2007-12-11,2214,,25.7127401,-80.2809083
1239 THEO DICKINSON DR,,07011294,1,ZOJ,BAKER MARCHMAN ACT,2007-12-12,2007-12-12,0720,2007-12-12,0719,,25.715591,-80.2816
5185 PONCE DE LEON BLVD,,07011299,1,THB,THEFT OF AUTO PART ACCESSORY,2007-12-12,2007-12-11,2300,2007-12-12,2300,,25.7179231,-80.2737624
5185 PONCE DE LEON BLVD,,07011299,2,VAB,THEFT OF AUTO PART ACCESSORY,2007-12-12,2007-12-11,2300,2007-12-12,2300,,25.7179231,-80.2737624
1211 THEO DICKINSON DR,,07011319,1,FDC,FD OTHER FIRE,2007-12-12,2007-12-12,1945,2007-12-12,1945,,25.716037,-80.27868200000002
5600 GEORGE E MERRICK ST,21Q,07011329,1,ZOA,TRESPASS WARNING,2007-12-13,2007-12-13,0953,2007-12-13,0953,,25.7183404,-80.27676699999999
5800 PONCE DE LEON BLVD,BLK,07011390,1,VEA,VEHICLE DRIVING BOATING UNDER THE INFLUENCE,2007-12-15,2007-12-15,0105,2007-12-15,0.045,,25.7084219,-80.28527120000001
5800 PONCE DE LEON BLVD,BLK,07011390,2,VEC,VEHICLE DRIVING BOATING UNDER THE INFLUENCE,2007-12-15,2007-12-15,0105,2007-12-15,0.045,,25.7084219,-80.28527120000001
5665 PONCE DE LEON BLVD,,07011415,1,ZOA,TRESPASS WARNING,2007-12-16,2007-12-16,0406,2007-12-16,0405,,25.7127401,-80.2809083
1251 MEMORIAL DR,,07011420,1,ZOA,TRESPASS WARNING,2007-12-16,2007-12-16,1237,2007-12-16,1237,,25.7227309,-80.2787218
1239 THEO DICKINSON DR,,07011465,1,FDC,FD OTHER FIRE,2007-12-17,2007-12-17,2215,2007-12-17,2215,,25.715591,-80.2816
5665 PONCE DE LEON BLVD,,07011544,1,ZOA,TRESPASS WARNING,2007-12-20,2007-12-20,0009,2007-12-20,0.006,,25.7127401,-80.2809083
5501 SAN AMARO DR,,07011556,1,THC,THEFT FROM MOTOR VEHICLE,2007-12-20,2007-12-20,1130,2007-12-20,1130,,25.7187893,-80.2803368
5501 SAN AMARO DR,,07011676,1,PRA,PROPERTY FOUND IMPOUNDED,2007-12-25,2007-12-25,0300,2007-12-25,0300,,25.7187893,-80.2803368
5801 SAN AMARO DR,,07011789,1,THC,THEFT FROM MOTOR VEHICLE,2007-12-30,2007-12-30,1530,2007-12-30,1530,,25.7167012,-80.2830467
1311 MILLER DR,F303,08000227,1,THF,THEFT FROM STRUCTURE WITH LEGAL ACCESS PUBLIC BUILDING,2008-01-09,2007-12-26,1000,2008-01-04,1000,,25.720387,-80.279546
5185 PONCE DE LEON BLVD,604,08000396,1,BUA,BURGLARY RESIDENTIAL,2008-01-15,2007-12-13,1700,2008-01-14,1700,,25.7179231,-80.2737624
5185 PONCE DE LEON BLVD,604,08000396,2,THK,THEFT OTHER,2008-01-15,2007-12-13,1700,2008-01-14,1700,,25.7179231,-80.2737624
1101 STANFORD DR,613,08000420,1,BUA,BURGLARY RESIDENTIAL,2008-01-16,2007-12-13,2100,2008-01-14,2100,,25.7183323,-80.27499759999999
1101 STANFORD DR,613,08000420,2,THK,THEFT OTHER,2008-01-16,2007-12-13,2100,2008-01-14,2100,,25.7183323,-80.27499759999999
5185 PONCE DE LEON BLVD,602,08000435,1,BUA,BURGLARY RESIDENTIAL,2008-01-16,2007-12-13,1700,2008-01-14,1700,,25.7179231,-80.2737624
5185 PONCE DE LEON BLVD,602,08000435,2,THK,THEFT OTHER,2008-01-16,2007-12-13,1700,2008-01-14,1700,,25.7179231,-80.2737624
5700 PONCE DE LEON BLVD,,08000640,1,THC,THEFT FROM MOTOR VEHICLE,2008-01-24,2007-12-09,1630,2007-12-09,1630,,25.7122517,-80.2804582
5185 PONCE DE LEON BLVD,628,08000759,1,BUA,BURGLARY RESIDENTIAL,2008-01-28,2007-12-12,1900,2008-01-13,1900,,25.7179231,-80.2737624
5185 PONCE DE LEON BLVD,628,08000759,2,THK,BURGLARY RESIDENTIAL,2008-01-28,2007-12-12,1900,2008-01-13,1900,,25.7179231,-80.2737624
5665 PONCE DE LEON BLVD,,08000097,1,VAB,VANDALISM TO VEHICLE,2008-01-04,2008-01-04,0001,2008-01-04,0.000,,25.7127401,-80.2809083
5616 GEORGE E MERRICK ST,,08000148,1,VAB,VANDALISM TO VEHICLE,2008-01-07,2008-01-06,2341,2008-01-06,2341,,25.7163614,-80.2762681
5616 GEORGE E MERRICK ST,,08000148,1,ZOE,SUSPICIOUS INCIDENT,2008-01-07,2008-01-06,2341,2008-01-06,2341,,25.7163614,-80.2762681
5821 SAN AMARO DR,278,08000172,1,THF,THEFT FROM STRUCTURE WITH LEGAL ACCESS PUBLIC BUILDING,2008-01-07,2008-01-07,1000,2008-01-07,1000,,25.714778,-80.28324909999999
5500 SAN AMARO DR,BLK,08000188,1,XOT,TRESPASSING,2008-01-08,2008-01-08,1012,2008-01-08,1012,,25.7202428,-80.2810222
5800 SAN AMARO DR,,08000197,1,VAA,VANDALISM TO STRUCTURE,2008-01-08,2008-01-07,1800,2008-01-08,1800,,25.7150399,-80.283608
5800 SAN AMARO DR,,08000197,2,VAB,VANDALISM TO STRUCTURE,2008-01-08,2008-01-07,1800,2008-01-08,1800,,25.7150399,-80.283608
1239 THEO DICKINSON DR,,08000248,1,ZOA,TRESPASS WARNING,2008-01-10,2008-01-10,0045,2008-01-10,0.031,,25.715591,-80.2816
6300 SAN AMARO DR,BLK,08000273,1,VEA,VEHICLE DRIVING BOATING UNDER THE INFLUENCE,2008-01-11,2008-01-11,0110,2008-01-11,0.048,,25.7111151,-80.2831906
6300 SAN AMARO DR,BLK,08000273,2,VEC,VEHICLE DRIVING BOATING UNDER THE INFLUENCE,2008-01-11,2008-01-11,0110,2008-01-11,0.048,,25.7111151,-80.2831906
5900 SAN AMARO DR,BLK,08000285,1,ZOE,SUSPICIOUS INCIDENT,2008-01-11,2008-01-11,0900,2008-01-11,0900,,25.7136802,-80.28354949999999
5616 GEORGE E MERRICK ST,,08000289,1,XOT,TRESPASSING,2008-01-11,2008-01-11,1230,2008-01-11,1230,,25.7163614,-80.2762681
5665 PONCE DE LEON BLVD,,08000313,1,ZOA,TRESPASS WARNING,2008-01-12,2008-01-12,1220,2008-01-12,1220,,25.7127401,-80.2809083
5183 PONCE DE LEON BLV,,08000357,1,THC,THEFT FROM MOTOR VEHICLE,2008-01-14,2008-01-12,2355,2008-01-13,2355,,25.7179567,-80.2737216
1365 MEMORIAL DR,,08000276,1,ZOA,TRESPASS WARNING,2008-01-14,2008-01-11,0330,2008-01-11,0330,,25.7214386,-80.2799399
5500 PONCE DE LEON BLVD,,08000363,1,THC,THEFT FROM MOTOR VEHICLE,2008-01-14,2008-01-14,1300,2008-01-14,1300,,25.7129758,-80.2796599
1200 MEMORIAL DR,BLK,08000389,1,PRB,PROPERTY LOST,2008-01-15,2008-01-14,0930,2008-01-14,0930,,25.721586,-80.2790782
5501 SAN AMARO DR,,08000467,2,XOT,TRESPASSING,2008-01-18,2008-01-18,0048,2008-01-18,0.033,,25.7187893,-80.2803368
5501 SAN AMARO DR,,08000467,1,ZOA,TRESPASS WARNING,2008-01-18,2008-01-18,0048,2008-01-18,0.033,,25.7187893,-80.2803368
1101 STANFORD DR,716,08000474,1,VAC,VANDALISM TO PERSONAL PROPERTY,2008-01-18,2008-01-17,2300,2008-01-18,2300,,25.7183323,-80.27499759999999
1101 STANFORD DR,,08000494,1,ALA,ALCOHOL JUVENILE VIOLATION,2008-01-19,2008-01-19,0401,2008-01-19,0401,,25.7183323,-80.27499759999999
5501 SAN AMARO DR,,08000499,1,VAA,VANDALISM TO STRUCTURE,2008-01-19,2008-01-19,1300,2008-01-19,1300,,25.7187893,-80.2803368
1211 THEO DICKINSON DR,E427,08000548,1,BUA,BURGLARY RESIDENTIAL,2008-01-22,2008-01-18,0800,2008-01-21,0800,,25.716037,-80.27868200000002
5500 PONCE DE LEON BLVD,,08000575,1,THC,THEFT FROM MOTOR VEHICLE,2008-01-22,2008-01-22,0730,2008-01-22,0730,,25.7129758,-80.2796599
